Active addresses,Blocks count,Block time,CHAIN,Date(UTC),Value
4550.0,6025,14.340248962655602,Ethereum,2016-03-16T00:00:00Z,27596.0
5014.0,6082,14.205853337717857,Ethereum,2016-03-17T00:00:00Z,33531.0
5359.0,5962,14.491781281449178,Ethereum,2016-03-18T00:00:00Z,31821.0
4440.0,6082,14.205853337717857,Ethereum,2016-03-19T00:00:00Z,34779.0
4571.0,6027,14.335490293678449,Ethereum,2016-03-20T00:00:00Z,32447.0
5090.0,5994,14.414414414414416,Ethereum,2016-03-21T00:00:00Z,32511.0
4498.0,6071,14.231592818316589,Ethereum,2016-03-22T00:00:00Z,32890.0
4591.0,5974,14.462671576832944,Ethereum,2016-03-23T00:00:00Z,31786.0
4445.0,6101,14.161612850352402,Ethereum,2016-03-24T00:00:00Z,36947.0
4275.0,6066,14.243323442136498,Ethereum,2016-03-25T00:00:00Z,36762.0
4094.0,6095,14.175553732567678,Ethereum,2016-03-26T00:00:00Z,36646.0
4678.0,6046,14.290439960304331,Ethereum,2016-03-27T00:00:00Z,29974.0
4772.0,5999,14.40240040006668,Ethereum,2016-03-28T00:00:00Z,33613.0
6025.0,6010,14.37603993344426,Ethereum,2016-03-29T00:00:00Z,33915.0
6119.0,6047,14.288076732263931,Ethereum,2016-03-30T00:00:00Z,36767.0
4856.0,6021,14.349775784753364,Ethereum,2016-03-31T00:00:00Z,32259.0
4607.0,6081,14.2081894425259,Ethereum,2016-04-01T00:00:00Z,33320.0
4354.0,5936,14.555256064690028,Ethereum,2016-04-02T00:00:00Z,29358.0
4315.0,6035,14.31648715824358,Ethereum,2016-04-03T00:00:00Z,29588.0
4934.0,6086,14.196516595465,Ethereum,2016-04-04T00:00:00Z,34907.0
4977.0,6033,14.321233217304824,Ethereum,2016-04-05T00:00:00Z,39173.0
4939.0,6004,14.390406395736177,Ethereum,2016-04-06T00:00:00Z,32078.0
4808.0,5953,14.513690576180077,Ethereum,2016-04-07T00:00:00Z,31893.0
4650.0,6102,14.15929203539823,Ethereum,2016-04-08T00:00:00Z,34010.0
4944.0,5933,14.562615877296478,Ethereum,2016-04-09T00:00:00Z,31923.0
5396.0,6065,14.245671887881286,Ethereum,2016-04-10T00:00:00Z,32237.0
4779.0,5937,14.552804446690248,Ethereum,2016-04-11T00:00:00Z,30327.0
5043.0,6015,14.364089775561098,Ethereum,2016-04-12T00:00:00Z,34673.0
5412.0,6015,14.364089775561098,Ethereum,2016-04-13T00:00:00Z,36051.0
5026.0,6021,14.349775784753364,Ethereum,2016-04-14T00:00:00Z,34781.0
4603.0,6059,14.259778841392968,Ethereum,2016-04-15T00:00:00Z,34959.0
4514.0,6019,14.354543944176774,Ethereum,2016-04-16T00:00:00Z,30483.0
5092.0,6015,14.364089775561098,Ethereum,2016-04-17T00:00:00Z,40203.0
5037.0,6055,14.269199009083405,Ethereum,2016-04-18T00:00:00Z,33513.0
4905.0,5969,14.474786396381305,Ethereum,2016-04-19T00:00:00Z,32622.0
5024.0,6050,14.28099173553719,Ethereum,2016-04-20T00:00:00Z,32944.0
4975.0,5990,14.424040066777962,Ethereum,2016-04-21T00:00:00Z,37181.0
5084.0,6031,14.325982424141934,Ethereum,2016-04-22T00:00:00Z,31678.0
4906.0,6051,14.27863163113535,Ethereum,2016-04-23T00:00:00Z,31845.0
5054.0,5981,14.445744858719278,Ethereum,2016-04-24T00:00:00Z,34046.0
5296.0,6104,14.15465268676278,Ethereum,2016-04-25T00:00:00Z,35430.0
5401.0,5952,14.516129032258064,Ethereum,2016-04-26T00:00:00Z,32582.0
5356.0,6062,14.252721873968987,Ethereum,2016-04-27T00:00:00Z,33847.0
5127.0,6030,14.328358208955224,Ethereum,2016-04-28T00:00:00Z,34343.0
7572.0,6030,14.328358208955224,Ethereum,2016-04-29T00:00:00Z,37332.0
8108.0,6058,14.26213271706834,Ethereum,2016-04-30T00:00:00Z,45769.0
7003.0,5942,14.540558734432851,Ethereum,2016-05-01T00:00:00Z,39578.0
8040.0,6080,14.210526315789474,Ethereum,2016-05-02T00:00:00Z,41748.0
7336.0,6054,14.271555996035678,Ethereum,2016-05-03T00:00:00Z,37821.0
6873.0,5980,14.448160535117056,Ethereum,2016-05-04T00:00:00Z,37484.0
6954.0,6037,14.311744243829716,Ethereum,2016-05-05T00:00:00Z,38707.0
6964.0,6022,14.347392892726669,Ethereum,2016-05-06T00:00:00Z,41271.0
6651.0,5988,14.428857715430862,Ethereum,2016-05-07T00:00:00Z,35864.0
7108.0,6051,14.27863163113535,Ethereum,2016-05-08T00:00:00Z,40063.0
7431.0,6044,14.295168762409,Ethereum,2016-05-09T00:00:00Z,38560.0
7553.0,6012,14.37125748502994,Ethereum,2016-05-10T00:00:00Z,40684.0
8714.0,5914,14.609401420358472,Ethereum,2016-05-11T00:00:00Z,40811.0
8878.0,6099,14.166256763403837,Ethereum,2016-05-12T00:00:00Z,45002.0
10443.0,6064,14.24802110817942,Ethereum,2016-05-13T00:00:00Z,47739.0
9197.0,5958,14.501510574018129,Ethereum,2016-05-14T00:00:00Z,45745.0
7912.0,6015,14.364089775561098,Ethereum,2016-05-15T00:00:00Z,43073.0
7676.0,5961,14.494212380473074,Ethereum,2016-05-16T00:00:00Z,37424.0
8305.0,6071,14.231592818316589,Ethereum,2016-05-17T00:00:00Z,40309.0
8916.0,6063,14.250371103414151,Ethereum,2016-05-18T00:00:00Z,46033.0
9178.0,6011,14.373648311429047,Ethereum,2016-05-19T00:00:00Z,44523.0
8604.0,6037,14.311744243829716,Ethereum,2016-05-20T00:00:00Z,45177.0
7746.0,5981,14.445744858719278,Ethereum,2016-05-21T00:00:00Z,43621.0
6923.0,6084,14.201183431952662,Ethereum,2016-05-22T00:00:00Z,38895.0
9050.0,6013,14.368867453849992,Ethereum,2016-05-23T00:00:00Z,43806.0
8614.0,6010,14.37603993344426,Ethereum,2016-05-24T00:00:00Z,42911.0
8385.0,6029,14.330734781887545,Ethereum,2016-05-25T00:00:00Z,46443.0
15526.0,6019,14.354543944176774,Ethereum,2016-05-26T00:00:00Z,51147.0
10181.0,6045,14.292803970223323,Ethereum,2016-05-27T00:00:00Z,49006.0
15936.0,6019,14.354543944176774,Ethereum,2016-05-28T00:00:00Z,70148.0
8730.0,6001,14.397600399933344,Ethereum,2016-05-29T00:00:00Z,45890.0
8560.0,6007,14.38321957715998,Ethereum,2016-05-30T00:00:00Z,42927.0
9019.0,5936,14.555256064690028,Ethereum,2016-05-31T00:00:00Z,44386.0
8269.0,6039,14.307004470938898,Ethereum,2016-06-01T00:00:00Z,42221.0
7750.0,6072,14.229249011857709,Ethereum,2016-06-02T00:00:00Z,39666.0
7788.0,6029,14.330734781887545,Ethereum,2016-06-03T00:00:00Z,39834.0
7140.0,6016,14.361702127659576,Ethereum,2016-06-04T00:00:00Z,37875.0
7142.0,5963,14.489350997819887,Ethereum,2016-06-05T00:00:00Z,37896.0
7645.0,6108,14.145383104125736,Ethereum,2016-06-06T00:00:00Z,38957.0
7946.0,5990,14.424040066777962,Ethereum,2016-06-07T00:00:00Z,46141.0
7920.0,6091,14.184862912493845,Ethereum,2016-06-08T00:00:00Z,40433.0
7516.0,6092,14.182534471437952,Ethereum,2016-06-09T00:00:00Z,39854.0
7726.0,5902,14.639105388004069,Ethereum,2016-06-10T00:00:00Z,40145.0
6860.0,6114,14.131501472031402,Ethereum,2016-06-11T00:00:00Z,36901.0
8032.0,6065,14.245671887881286,Ethereum,2016-06-12T00:00:00Z,42581.0
9846.0,6084,14.201183431952662,Ethereum,2016-06-13T00:00:00Z,46185.0
10026.0,6035,14.31648715824358,Ethereum,2016-06-14T00:00:00Z,50335.0
8709.0,6007,14.38321957715998,Ethereum,2016-06-15T00:00:00Z,43251.0
9481.0,6015,14.364089775561098,Ethereum,2016-06-16T00:00:00Z,43392.0
14035.0,5849,14.77175585570183,Ethereum,2016-06-17T00:00:00Z,66558.0
12578.0,5889,14.67142129393785,Ethereum,2016-06-18T00:00:00Z,63083.0
9786.0,6222,13.886210221793636,Ethereum,2016-06-19T00:00:00Z,51035.0
9011.0,5949,14.523449319213311,Ethereum,2016-06-20T00:00:00Z,47118.0
9567.0,5999,14.40240040006668,Ethereum,2016-06-21T00:00:00Z,47323.0
10424.0,6139,14.073953412607915,Ethereum,2016-06-22T00:00:00Z,48615.0
8468.0,6003,14.3928035982009,Ethereum,2016-06-23T00:00:00Z,41908.0
